rank_hoa2,Gene,Distance_hoa2,boxcox-transformed distance_hoa2,Z_hoa2,FC_hoa2,p-value_hoa2,adjusted p-value_hoa2,rank_hoa3,Distance_hoa3,boxcox-transformed distance_hoa3,Z_hoa3,FC_hoa3,p-value_hoa3,adjusted p-value_hoa3,mean_rank,max_rank,replicated_top50,replicated_fdr_0_05,replicated_nominal_0_05
3,ENG,1.4088120305987733e-05,-10.015783527346567,1.3768948560533059,0.48996860148759963,0.48394131093618553,0.9999999999964178,68,4.267381584276172e-08,-14.394893058434173,0.6286865795631843,1.1802681439563255e-06,0.9991331772144622,0.9999999999972699,35.5,68,False,False,False
47,ADAMTS4,8.905995407686164e-06,-10.381313290035912,1.3182913500846154,0.19580648918234678,0.6581272347724543,0.9999999999964178,25,1.659506931479494e-05,-9.881471159423224,1.3571291632344746,0.17849081373902706,0.6726734320712942,0.9999999999972699,36.0,47,True,False,False
45,C11orf96,8.980325781525131e-06,-10.374718327920526,1.3193486864252975,0.199088571649502,0.6554575326431846,0.9999999999964178,28,1.524039097705289e-05,-9.949776592634421,1.3461050251502298,0.15053931832673104,0.6980204983116721,0.9999999999972699,36.5,45,True,False,False
16,ICAM4,9.961130665734871e-06,-10.292379197891234,1.3325496954556602,0.24495111512761686,0.6206528064397474,0.9999999999964178,57,5.840697383079181e-06,-10.71112347171033,1.2232276385301886,0.022109918339066604,0.8817950622039028,0.9999999999972699,36.5,57,False,False,False
64,HIF1A,9.98981058297602e-08,-13.789453912916992,0.7718817010709106,2.463636638295451e-05,0.9960397135001979,0.9999999999964178,13,1.833631856690568e-05,-9.801289599261672,1.3700700458184127,0.2179124378117875,0.6406351602416944,0.9999999999972699,38.5,64,False,False,False
35,ADAMTS9,9.515206120865072e-06,-10.328781459823626,1.3267135081128478,0.22351081796494782,0.6363777737053553,0.9999999999964178,43,1.0695672242548142e-05,-10.23257264773886,1.3004632274983268,0.07414363941267775,0.7853965100505282,0.9999999999972699,39.0,43,True,False,False
63,HMOX1,9.991609676376033e-08,-13.789323250944594,0.7719026494326061,2.4645240848577344e-05,0.9960390002867973,0.9999999999964178,16,1.822255440283869e-05,-9.80629557493296,1.3692621076434799,0.21521683434053457,0.6427088717065369,0.9999999999972699,39.5,63,False,False,False
18,ATF3,9.930571895435591e-06,-10.2948223316259,1.3321580003954594,0.2434504977288705,0.621725015743117,0.9999999999964178,65,4.8237551824673955e-08,-14.307439924316334,0.6428010559831507,1.508093417633114e-06,0.9990201624595824,0.9999999999972699,41.5,65,False,False,False
30,IER3,9.650552391049185e-06,-10.317558976390991,1.3285127511347816,0.22991456917241246,0.6315871813915168,0.9999999999964178,56,6.178404486293341e-06,-10.666904123953083,1.2303644089561059,0.02474060994890362,0.8750151339835633,0.9999999999972699,43.0,56,False,False,False
11,PRDX1,1.0145770568475937e-05,-10.277771954960722,1.3348915995511468,0.25411612325095734,0.6141915855785953,0.9999999999964178,77,3.025777072159957e-08,-14.639112670223716,0.5892708172046601,5.933781953611968e-07,0.9993853812426053,0.9999999999972699,44.0,77,False,False,False
50,MT2A,8.847141441101236e-06,-10.386573489039648,1.3174480094454184,0.19322712309239706,0.6602441741679194,0.9999999999964178,39,1.1692760323888756e-05,-10.161580026058322,1.3119210636846361,0.08861185402951277,0.7659493689915144,0.9999999999972699,44.5,50,True,False,False
40,MT-CO1,9.202640328476121e-06,-10.35530808818418,1.3224606302841875,0.20906774937760278,0.6474990756644536,0.9999999999964178,50,9.259389143681597e-06,-10.347161816875591,1.2819691375828683,0.05556769742074676,0.8136437289816432,0.9999999999972699,45.0,50,True,False,False
