"Gene","rank_hoa2","p_value_hoa2","adjusted_p_value_hoa2","rank_hoa3","p_value_hoa3","adjusted_p_value_hoa3","mean_rank","max_rank"
"DNAJA4",180,0.997508881454604,0.999999999970122,244,0.999875126510625,0.999999999988964,212,244
"HLA-DQA1",282,0.99998210290507,0.999999999970122,142,0.994124437843133,0.999999999988964,212,282
"MTFR1L",260,0.999953604782955,0.999999999970122,166,0.995676792344769,0.999999999988964,213,260
"MT1X",179,0.997344020480788,0.999999999970122,250,0.999895819841545,0.999999999988964,214.5,250
"TAGLN",204,0.999728389233926,0.999999999970122,226,0.99972620408734,0.999999999988964,215,226
"SLC4A7",278,0.999978243064932,0.999999999970122,154,0.994869493254599,0.999999999988964,216,278
"ZNF331",230,0.9998911267949,0.999999999970122,206,0.998925770637036,0.999999999988964,218,230
"CLPP",250,0.999932746931221,0.999999999970122,186,0.997650552686959,0.999999999988964,218,250
"OPA1",242,0.999909777245923,0.999999999970122,196,0.998448288675882,0.999999999988964,219,242
"ECRG4",275,0.999974292468942,0.999999999970122,163,0.995494438854441,0.999999999988964,219,275
"LCN6",208,0.999787420492707,0.999999999970122,232,0.999799736399809,0.999999999988964,220,232
"BGN",213,0.999830053099452,0.999999999970122,230,0.999791708327117,0.999999999988964,221.5,230
"GABARAPL2",189,0.999110216419165,0.999999999970122,254,0.999901217172052,0.999999999988964,221.5,254
"MTOR",164,0.994764680372687,0.999999999970122,281,0.999971275744286,0.999999999988964,222.5,281
"RNPC3",268,0.999960899977907,0.999999999970122,179,0.997147746688166,0.999999999988964,223.5,268
"TSC1",172,0.995940648423852,0.999999999970122,277,0.999962605355095,0.999999999988964,224.5,277
"SYBU",276,0.999974502855098,0.999999999970122,175,0.996900949627034,0.999999999988964,225.5,276
"IFIT3",283,0.999982830274104,0.999999999970122,169,0.996141741040528,0.999999999988964,226,283
"EIF4EBP1",212,0.999829943832555,0.999999999970122,243,0.999874054778778,0.999999999988964,227.5,243
"CD14",244,0.999917762380876,0.999999999970122,212,0.999258379186513,0.999999999988964,228,244
"INF2",265,0.999958635768169,0.999999999970122,193,0.998080570044094,0.999999999988964,229,265
"MX1",257,0.999948630152211,0.999999999970122,202,0.998737236041717,0.999999999988964,229.5,257
"TEAD4",243,0.999910741855942,0.999999999970122,219,0.999640726405593,0.999999999988964,231,243
"AC091271.1",222,0.999860099094719,0.999999999970122,242,0.999866064056687,0.999999999988964,232,242
"GIGYF1",267,0.999960151678971,0.999999999970122,200,0.998653457755278,0.999999999988964,233.5,267
"LATS1",280,0.999979873227027,0.999999999970122,187,0.997748490101138,0.999999999988964,233.5,280
"AC002558.3",261,0.999953875962636,0.999999999970122,209,0.999095278289539,0.999999999988964,235,261
"GBP1",288,0.99998863528498,0.999999999970122,183,0.99739465902613,0.999999999988964,235.5,288
"ADM",272,0.999964517219554,0.999999999970122,201,0.998682305384748,0.999999999988964,236.5,272
"CX3CL1",215,0.9998345139087,0.999999999970122,261,0.999914352065657,0.999999999988964,238,261
"UQCRC1",200,0.999691295869859,0.999999999970122,276,0.999962474781493,0.999999999988964,238,276
"ULK1",226,0.999874133562446,0.999999999970122,252,0.999899270456504,0.999999999988964,239,252
"PLAUR",216,0.999848475458653,0.999999999970122,262,0.999917222361633,0.999999999988964,239,262
"GABARAP",248,0.999924778361917,0.999999999970122,234,0.99981559392612,0.999999999988964,241,248
"VDAC1",214,0.999831323439474,0.999999999970122,268,0.999937726563599,0.999999999988964,241,268
"GADD45G",239,0.999907240603617,0.999999999970122,245,0.999875549581136,0.999999999988964,242,245
"IGFBP5",287,0.999987212438062,0.999999999970122,198,0.998522944339677,0.999999999988964,242.5,287
"BNIP3L",237,0.999904522704041,0.999999999970122,249,0.999893635580513,0.999999999988964,243,249
"NDUFS1",228,0.999876823285291,0.999999999970122,258,0.99990391964017,0.999999999988964,243,258
"BNIP3",206,0.999778806526568,0.999999999970122,280,0.999969115140023,0.999999999988964,243,280
"HTRA2",255,0.999939641826646,0.999999999970122,233,0.999811278367952,0.999999999988964,244,255
"MFF",218,0.999857245552629,0.999999999970122,270,0.999954724284091,0.999999999988964,244,270
"DNM1L",252,0.999936034972213,0.999999999970122,238,0.999855657904159,0.999999999988964,245,252
"KEAP1",259,0.99995109416006,0.999999999970122,231,0.999797449954692,0.999999999988964,245,259
"MTCH2",231,0.999892078799166,0.999999999970122,260,0.999912456123704,0.999999999988964,245.5,260
"AC109326.1",220,0.999859554729261,0.999999999970122,272,0.99995767735051,0.999999999988964,246,272
"LONP1",277,0.999977874524085,0.999999999970122,215,0.999523530027446,0.999999999988964,246,277
"PLAC9",264,0.999958031897345,0.999999999970122,229,0.999765427264124,0.999999999988964,246.5,264
